processed_food_id,fdc_id,match_ratio
1241,2514746,0.0769
1241,2262075,0.0769
1241,746781,0.0769
1241,2646174,0.0769
1242,332864,0.0769
1242,746785,0.0769
1242,2514747,0.0769
1242,2727570,0.0769
1242,2727571,0.0769
1242,330869,0.0769
1242,2727574,0.0769
1242,2514743,0.0769
1242,2514744,0.0769
1242,2514745,0.0769
1242,2514746,0.0769
1242,2262075,0.0769
1242,746781,0.0769
1243,2003595,0.04
1243,335245,0.04
1243,1105430,0.04
1243,2346390,0.04
1243,2258590,0.04
1243,335774,0.04
1243,2346399,0.04
1243,335777,0.04
1243,2346402,0.04
1243,747430,0.04
1243,747431,0.04
1243,2346408,0.04
1243,2346412,0.04
1243,747438,0.04
1243,747440,0.04
1243,790577,0.04
1243,747443,0.04
1243,2710838,0.04
1243,335930,0.04
1243,335422,0.04
1243,2644289,0.04
1243,2644290,0.04
1243,1750339,0.04
1243,2263890,0.04
1243,333281,0.04
1244,2647437,0.2
1244,330415,0.2
1244,2259793,0.2
1244,2259794,0.2
1244,330137,0.2
1245,2685572,0.2
1245,2710822,0.2
1245,1750352,0.2
1245,1999632,0.2
1245,2258587,0.2
1246,2259792,0.25
1246,790146,0.25
1246,335240,0.25
1246,325871,0.25
1247,328841,0.0435
1247,746765,0.0435
1247,746766,0.0435
1247,746767,0.0435
1247,2346384,0.0435
1247,2346385,0.0435
1247,2647438,0.0435
1247,2647439,0.0435
1247,2647440,0.0435
1247,2647441,0.0435
1247,2647442,0.0435
1247,2647443,0.0435
1247,329370,0.0435
1247,2684446,0.0435
1247,747429,0.0435
1247,325036,0.0435
1247,328637,0.0435
1247,325198,0.0435
1247,2259795,0.0435
1247,2259796,0.0435
1247,329830,0.0435
1247,323444,0.0435
1247,326135,0.0435
1248,2646170,0.1111
1248,2727566,0.1111
1248,2727567,0.1111
1248,2727568,0.1111
1248,2727569,0.1111
1248,331960,0.1111
1248,331897,0.1111
1248,2514746,0.1111
1248,2646171,0.1111
1249,335240,0.3333
1249,790146,0.3333
1249,325871,0.3333
1250,2346394,0.5
1250,2346395,0.5
1253,326458,0.25
1253,2258587,0.25
1253,746764,0.25
1253,2258586,0.25
1254,2710826,1.0
1259,334720,0.1111
1259,334536,0.1111
1259,335912,0.1111
1259,2710825,0.1111
1259,747444,0.1111
1259,2710837,0.1111
1259,746774,0.1111
1259,2644285,0.1111
1259,334462,0.1111
1260,1104867,0.1111
1260,2710821,0.1111
1260,790214,0.1111
1260,334536,0.1111
1260,2710825,0.1111
1260,1104812,0.1111
1260,2710838,0.1111
1260,2512380,0.1111
1260,2512381,0.1111
1262,2647442,0.3333
1262,746765,0.3333
1262,329830,0.3333
1266,2346385,0.3333
1266,2346386,0.3333
1266,2346387,0.3333
1267,2346391,0.0625
1267,2346400,0.0625
1267,2685568,0.0625
1267,2644291,0.0625
1267,2727585,0.0625
1267,327046,0.0625
1267,2346407,0.0625
1267,2710823,0.0625
1267,321611,0.0625
1267,2346413,0.0625
1267,2710831,0.0625
1267,2263891,0.0625
1267,2710836,0.0625
1267,2346389,0.0625
1267,332791,0.0625
1267,2258588,0.0625
1268,2258591,0.25
1268,2346404,0.25
1268,2003597,0.25
1268,2003591,0.25
1269,790146,0.0294
1269,2003593,0.0294
1269,746765,0.0294
1269,1999629,0.0294
1269,2727570,0.0294
1269,2727571,0.0294
1269,746781,0.0294
1269,746785,0.0294
1269,325287,0.0294
1269,2710826,0.0294
1269,747442,0.0294
1269,2710835,0.0294
1269,335927,0.0294
1269,2514743,0.0294
1269,2514744,0.0294
1269,2514745,0.0294
1269,2514747,0.0294
1269,2514746,0.0294
1269,2262075,0.0294
1269,2710839,0.0294
1269,2710840,0.0294
1269,332864,0.0294
1269,2710841,0.0294
1269,1104962,0.0294
1269,2710842,0.0294
1269,790214,0.0294
1269,1750347,0.0294
1269,323793,0.0294
1269,747997,0.0294
1269,329830,0.0294
1269,325871,0.0294
1269,323697,0.0294
1269,330869,0.0294
1269,2512381,0.0294
1271,2710826,1.0
1272,1750344,0.2
1272,1999626,0.2
1272,327501,0.2
1272,332597,0.2
1272,326458,0.2
1275,2647439,0.04
1275,2346384,0.04
1275,746769,0.04
1275,325524,0.04
1275,746776,0.04
1275,746781,0.04
1275,748323,0.04
1275,325287,0.04
1275,324653,0.04
1275,2515375,0.04
1275,2710835,0.04
1275,2515381,0.04
1275,331960,0.04
1275,332864,0.04
1275,748608,0.04
1275,1750348,0.04
1275,1750349,0.04
1275,748366,0.04
1275,1750350,0.04
1275,1750351,0.04
1275,330458,0.04
1275,327923,0.04
1275,748278,0.04
1275,331897,0.04
1275,322559,0.04
1278,2003587,0.0294
1278,335240,0.0294
1278,2685578,0.0294
1278,746766,0.0294
1278,1999630,0.0294
1278,1999631,0.0294
1278,329490,0.0294
1278,323604,0.0294
1278,746772,0.0294
1278,2257044,0.0294
1278,2257045,0.0294
1278,746776,0.0294
1278,2346393,0.0294
1278,746778,0.0294
1278,2257046,0.0294
1278,2346396,0.0294
1278,2346397,0.0294
1278,746782,0.0294
1278,748967,0.0294
1278,2261421,0.0294
1278,322228,0.0294
1278,2710842,0.0294
1278,1750337,0.0294
1278,1750338,0.0294
1278,790085,0.0294
1278,322892,0.0294
1278,321359,0.0294
1278,2259793,0.0294
1278,2259794,0.0294
1278,2259796,0.0294
1278,323444,0.0294
1278,2512378,0.0294
1278,2512379,0.0294
1278,322559,0.0294
1281,334194,0.5
1281,332397,0.5
1282,749420,1.0
1283,332864,0.0625
1283,2646169,0.0625
1283,334628,0.0625
1283,746758,0.0625
1283,749420,0.0625
1283,2727576,0.0625
1283,334897,0.0625
1283,2727573,0.0625
1283,746774,0.0625
1283,2727575,0.0625
1283,2646168,0.0625
1283,2514745,0.0625
1283,325658,0.0625
1283,746780,0.0625
1283,746781,0.0625
1283,334462,0.0625
1284,2346391,0.0588
1284,2346400,0.0588
1284,2685568,0.0588
1284,2644291,0.0588
1284,2727585,0.0588
1284,327046,0.0588
1284,2346407,0.0588
1284,2710823,0.0588
1284,1104647,0.0588
1284,321611,0.0588
1284,2346413,0.0588
1284,2710831,0.0588
1284,2263891,0.0588
1284,2710836,0.0588
1284,2346389,0.0588
1284,332791,0.0588
1284,2258588,0.0588
1286,1104867,0.1111
1286,2710821,0.1111
1286,790214,0.1111
1286,334536,0.1111
1286,2710825,0.1111
1286,1104812,0.1111
1286,2710838,0.1111
1286,2512380,0.1111
1286,2512381,0.1111
1287,2685572,0.1667
1287,2346407,0.1667
1287,746760,0.1667
1287,2346408,0.1667
1287,334898,0.1667
1287,2727583,0.1667
1289,334536,0.3333
1289,334462,0.3333
1289,746774,0.3333
1290,2644289,0.1667
